Time,sensorLL,sensorCL,sensorCR,sensorRR,motorL,motorR
11791.0,53.0,32.0,33.0,32.0,0.0,100.0
11833.0,48.0,32.0,33.0,31.0,0.0,100.0
11875.0,44.0,31.0,33.0,32.0,0.0,100.0
11916.0,40.0,32.0,33.0,32.0,0.0,100.0
11958.0,36.0,32.0,33.0,32.0,0.0,100.0
11999.0,34.0,32.0,33.0,32.0,0.0,100.0
12041.0,34.0,32.0,33.0,32.0,0.0,100.0
12082.0,34.0,32.0,33.0,33.0,0.0,100.0
12123.0,34.0,32.0,33.0,32.0,0.0,100.0
12165.0,33.0,32.0,33.0,32.0,0.0,100.0
12207.0,34.0,32.0,33.0,32.0,0.0,100.0
12248.0,34.0,32.0,33.0,32.0,0.0,100.0
12290.0,34.0,32.0,33.0,33.0,0.0,100.0
12331.0,40.0,32.0,33.0,32.0,0.0,100.0
12373.0,58.0,32.0,33.0,32.0,0.0,100.0
12415.0,40.0,41.0,34.0,33.0,100.0,0.0
12456.0,34.0,46.0,37.0,32.0,30.0,90.0
12498.0,34.0,39.0,134.0,32.0,100.0,0.0
12541.0,34.0,32.0,129.0,36.0,90.0,30.0
12583.0,34.0,32.0,59.0,209.0,100.0,0.0
12626.0,33.0,32.0,42.0,202.0,100.0,0.0
12669.0,33.0,32.0,42.0,151.0,100.0,0.0
12711.0,33.0,32.0,52.0,37.0,41.0,79.0
12753.0,33.0,32.0,70.0,33.0,90.0,30.0
12794.0,33.0,32.0,95.0,32.0,90.0,30.0
12836.0,34.0,32.0,74.0,32.0,90.0,30.0
12878.0,34.0,37.0,58.0,32.0,90.0,30.0
12919.0,34.0,44.0,37.0,31.0,0.0,100.0
12961.0,34.0,46.0,34.0,32.0,30.0,90.0
13003.0,34.0,47.0,36.0,32.0,30.0,90.0
13044.0,33.0,44.0,37.0,32.0,30.0,90.0
13086.0,33.0,43.0,44.0,32.0,100.0,10.0
13128.0,34.0,39.0,50.0,33.0,100.0,0.0
13170.0,33.0,43.0,36.0,32.0,0.0,100.0
13212.0,33.0,50.0,278.0,267.0,30.0,90.0
13255.0,33.0,39.0,53.0,40.0,100.0,0.0
13297.0,33.0,31.0,33.0,32.0,90.0,30.0
13339.0,32.0,32.0,32.0,32.0,90.0,30.0
13380.0,32.0,31.0,33.0,31.0,90.0,30.0
13422.0,33.0,31.0,33.0,32.0,90.0,30.0
13463.0,33.0,32.0,33.0,32.0,90.0,30.0
13505.0,33.0,31.0,33.0,32.0,90.0,30.0
